,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
38,2020-07-17,2020-07-17,torontosun,https://torontosun.com/sponsored/sponsored-life/a-250000-instant-monopoly-prize-allowed-this-winner-to-make-a-decision-from-the-heart,"A $250,000 INSTANT MONOPOLY prize allowed this winner to make a decision from the heart",00:00:00,00:07:07,427.0
39,2020-07-17,2020-07-16,ctvnews,http://london.ctvnews.ca/one-new-covid-19-case-in-middlesex-london-mask-rules-in-some-counties-start-friday-1.5026941,"One new COVID-19 case in Middlesex-London, mask rules in some counties start Friday",00:00:00,00:02:28,148.0
40,2020-07-18,2020-07-17,mapleridgenews,https://www.mapleridgenews.com/news/tories-to-seek-trudeau-familys-speaking-records-as-second-we-probe-begins/,Tories to seek Trudeau family’s speaking records as second WE probe begins – Maple Ridge News,00:00:00,00:03:45,225.0
41,2020-07-18,2020-07-17,thestar,https://www.thestar.com/autos/opinion/2020/07/17/subaru-continues-to-deliver-sophisticated-four-wheel-drive.html,Subaru continues to deliver sophisticated four-wheel drive,00:00:00,00:09:59,599.0
42,2020-07-18,2020-07-17,ctvnews,https://winnipeg.ctvnews.ca/crews-respond-to-two-north-end-garage-fires-within-an-hour-1.5028229,Crews respond to two North End garage fires within an hour,00:00:00,00:01:56,116.0
43,2020-07-18,2020-07-17,ctvnews,https://bc.ctvnews.ca/oregon-mental-health-response-saves-money-and-lives-without-police-1.5028544,Oregon mental health response saves money and lives - without police,00:00:00,00:10:09,609.0
44,2020-07-18,2020-07-14,thestar,https://www.thestar.com/entertainment/television/2020/07/14/tom-bergeron-erin-andrews-exit-dancing-with-the-stars.html,"Tom Bergeron, Erin Andrews exit ‘Dancing With the Stars’",00:00:00,00:04:48,288.0
45,2020-07-18,2020-07-16,theprogress,https://www.theprogress.com/opinion/letter-where-are-all-the-pro-police-stories/,LETTER: Where are all the pro-police stories? – Chilliwack Progress,00:00:00,00:10:44,644.0
46,2020-07-18,2020-07-17,thestar,https://www.thestar.com/news/canada/2020/07/17/man-accused-of-breaking-into-rideau-hall-due-for-court-hearing-in-ottawa.html,Man accused of breaking into Rideau Hall due for court hearing in Ottawa,00:00:00,00:02:00,120.0
47,2020-07-18,2020-07-16,ctvnews,http://london.ctvnews.ca/joe-kool-s-set-to-reopen-with-unique-regular-customers-1.5027408,Joe Kool's set to reopen with unique 'regular customers',00:00:00,00:10:19,619.0
48,2020-07-18,2020-07-14,abbynews,https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/,19 times on 19th birthday: Aldergrove teen goes from crutches to conquering Abby Grind – Abbotsford News,00:00:00,00:09:05,545.0
49,2020-07-18,2020-07-16,mapleridgenews,https://www.mapleridgenews.com/news/21-more-covid-19-cases-recorded-in-b-c-no-new-deaths/,"21 more COVID-19 cases recorded in B.C., no new deaths – Maple Ridge News",00:00:00,00:03:09,189.0
50,2020-07-19,2020-07-16,ctvnews,https://northernontario.ctvnews.ca/my-heart-is-full-north-bay-residents-replace-money-stolen-from-donation-box-to-support-lgbtq-space-1.5027318,'My heart is full': North Bay residents replace money stolen from donation box to support LGBTQ+ space,00:00:00,00:07:46,466.0
51,2020-07-19,2020-07-14,ctvnews,https://northernontario.ctvnews.ca/two-floridians-fined-for-violating-the-quarantine-act-in-northeastern-ontario-1.5023603,Two Floridians fined for violating the Quarantine Act in northeastern Ontario,00:00:00,00:04:55,295.0
52,2020-07-19,2020-07-17,torontosun,https://www.healthing.ca/news/covid-19-leading-to-less-sex-more-gender-based-violence-ubc-researcher,"COVID-19 leading to less sex, more gender-based violence: UBC researcher",00:00:00,00:05:11,311.0
53,2020-07-19,2020-07-16,langleyadvancetimes,https://www.langleyadvancetimes.com/news/langley-township-city-see-most-residents-pay-property-taxes/,"Langley Township, City see most residents pay property taxes – Langley Advance Times",00:00:00,00:02:47,167.0
54,2020-07-19,2020-07-17,ctvnews,http://windsor.ctvnews.ca/22-new-covid-19-cases-reported-in-windsor-essex-including-10-in-community-1.5028226,"22 new COVID-19 cases reported in Windsor-Essex, including 10 in community",00:00:00,00:08:45,525.0
55,2020-07-19,2020-07-14,theprogress,https://www.theprogress.com/news/popkum-fire-chief-urges-caution-after-saturday-rescue-from-bridal-veil-falls/,Popkum fire chief urges caution after Saturday rescue from Bridal Veil Falls – Chilliwack Progress,00:00:00,00:06:51,411.0
56,2020-07-19,2020-07-14,cp24,https://www.cp24.com/news/human-clinical-trials-begin-for-quebec-made-covid-19-vaccine-candidate-1.5023230,Human clinical trials begin for Quebec-made COVID-19 vaccine candidate,00:00:00,00:04:32,272.0
57,2020-07-19,2020-07-17,thestar,https://www.thestar.com/business/2020/07/17/ottawa-proposes-changes-to-allow-more-businesses-to-receive-federal-wage-subsidy.html,Ottawa proposes changes to allow more businesses to receive federal wage subsidy,00:00:00,00:08:42,522.0
58,2020-07-19,2020-07-16,abbynews,https://www.abbynews.com/news/council-hearing-into-these-seven-proposed-abbotsford-pot-shops-set-for-monday/,Council hearing into these seven proposed Abbotsford pot shops set for Monday – Abbotsford News,00:00:00,00:04:43,283.0
59,2020-07-19,2020-07-16,langleyadvancetimes,https://www.langleyadvancetimes.com/local-news/pedestrian-in-critical-condition-after-crash-on-highway-10-in-cloverdale/,Pedestrian in critical condition after crash on Highway 10 in Cloverdale – Langley Advance Times,00:00:00,00:01:19,79.0
60,2020-07-20,2020-07-14,langleyadvancetimes,https://www.langleyadvancetimes.com/news/langley-thieves-make-off-with-10000-worth-of-remote-control-cars/,"Langley thieves make off with $10,000 worth of remote control cars – Langley Advance Times",00:00:00,00:01:53,113.0
61,2020-07-20,2020-07-16,ctvnews,https://toronto.ctvnews.ca/toronto-dad-forced-to-dismantle-and-move-backyard-pirate-ship-after-complaint-1.5027134,Toronto dad forced to dismantle and move backyard 'pirate ship' after complaint,00:00:00,00:03:09,189.0
62,2020-07-20,2020-07-14,abbynews,https://www.abbynews.com/news/cold-and-wet-weather-has-corn-farmers-waiting-across-the-fraser-valley/,Cold and wet weather has corn farmers waiting across the Fraser Valley – Abbotsford News,00:00:00,00:06:17,377.0
63,2020-07-20,2020-07-15,langleyadvancetimes,https://www.langleyadvancetimes.com/business/new-community-market-debuts-in-langley/,New community market debuts in Langley – Langley Advance Times,00:00:00,00:04:21,261.0
64,2020-07-20,2020-07-15,langleyadvancetimes,https://www.langleyadvancetimes.com/web-poll/web-poll-when-will-you-feel-comfortable-crossing-the-border/,Web Poll: When will you feel comfortable crossing the border? – Langley Advance Times,00:00:00,00:10:37,637.0
65,2020-07-20,2020-07-17,mapleridgenews,https://www.mapleridgenews.com/news/tories-to-seek-trudeau-familys-speaking-records-as-second-we-probe-begins/,Tories to seek Trudeau family’s speaking records as second WE probe begins – Maple Ridge News,00:00:00,00:08:34,514.0
66,2020-07-20,2020-07-16,thestar,https://www.thestar.com/entertainment/books/2020/07/16/why-are-we-so-nostalgic-because-the-pain-feels-good-and-were-not-likely-to-be-buried-alive-for-it.html,"Why are we so nostalgic? Because the pain feels good, and we’re not likely to be buried alive for it",00:00:00,00:10:57,657.0
67,2020-07-20,2020-07-15,torontosun,https://torontosun.com/life/relationships/ask-amy-girlfriend-wants-to-swing-alone,ASK AMY: Girlfriend wants to swing – alone,00:00:00,00:04:06,246.0
68,2020-07-20,2020-07-17,ctvnews,https://bc.ctvnews.ca/oregon-mental-health-response-saves-money-and-lives-without-police-1.5028544,Oregon mental health response saves money and lives - without police,00:00:00,00:02:21,141.0
69,2020-07-20,2020-07-16,langleyadvancetimes,https://www.langleyadvancetimes.com/community/aldergrove-fair-kicks-off-friday-with-its-11th-annual-car-cruise/,Aldergrove Fair kicks off Friday with its 11th annual car cruise – Langley Advance Times,00:00:00,00:01:22,82.0
