,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
32,2020-07-17,2020-07-16 00:00:00,thestar,https://www.thestar.com/wsj/business/2020/07/16/vox-media-lays-off-six-per-cent-of-workforce.html,Vox Media lays off six per cent of workforce,00:00:00,00:03:11,191.0
33,2020-07-17,2020-07-17 00:00:00,cp24,https://www.cp24.com/news/njoo-tells-young-people-to-party-at-a-distance-to-help-keep-covid-19-down-1.5028746,Njoo tells young people to 'party' at a distance to help keep COVID-19 down,00:00:00,00:08:43,523.0
34,2020-07-17,2020-07-14 00:00:00,northdeltareporter,https://www.northdeltareporter.com/news/surrey-council-approves-150-foi-fee-for-attendance-requests-at-city-facilities/,Surrey council approves $150 FOI fee for attendance requests at city facilities – North Delta Reporter,00:00:00,00:02:40,160.0
35,2020-07-17,2020-07-16 00:00:00,torontosun,https://driving.ca/ford/mustang/reviews/road-test/want-a-2020-ford-mustang-ecoboost-consider-its-competitors-first/,Want a 2020 Ford Mustang EcoBoost? Consider its competitors first,00:00:00,00:06:35,395.0
36,2020-07-17,2020-07-17 00:00:00,ctvnews,https://toronto.ctvnews.ca/face-masks-will-soon-be-mandatory-onboard-go-transit-vehicles-including-up-express-1.5028655,"Face masks will soon be mandatory onboard GO Transit vehicles, including UP Express",00:00:00,00:07:43,463.0
37,2020-07-17,2020-07-17 00:00:00,abbynews,https://www.abbynews.com/community/sara-for-women-shelter-recieves-sizeable-donation-from-four-local-shoppers-drug-mart-owners/,SARA for Women shelter receives sizeable donation from four local Shoppers Drug Mart owners – Abbotsford News,00:00:00,00:10:28,628.0
38,2020-07-17,2020-07-17 00:00:00,ctvnews,https://winnipeg.ctvnews.ca/bail-hearing-postponed-two-weeks-for-accused-in-rideau-hall-gate-crashing-1.5028458,Bail hearing postponed two weeks for accused in Rideau Hall gate crashing,00:00:00,00:08:46,526.0
39,2020-07-17,2020-07-16 00:00:00,torontosun,https://torontosun.com/news/provincial/ford-govt-appointment-process-challenged,Ford gov't appointment process challenged,00:00:00,00:02:45,165.0
40,2020-07-18,2020-07-16 00:00:00,ctvnews,https://toronto.ctvnews.ca/ontario-to-get-7b-of-federal-government-s-19b-pandemic-recovery-funds-1.5026474,Ontario to get $7B of federal government’s $19B pandemic recovery funds,00:00:00,00:05:43,343.0
41,2020-07-18,2020-07-16 00:00:00,mapleridgenews,https://www.mapleridgenews.com/business/5-billion-fall-tax-bill-too-much-for-b-c-business-ndp-told/,"$5 billion fall tax bill too much for B.C. business, NDP told – Maple Ridge News",00:00:00,00:07:58,478.0
42,2020-07-18,2020-07-17 00:00:00,ctvnews,https://kitchener.ctvnews.ca/man-arrested-after-allegedly-looking-into-windows-in-wilmot-neighbourhood-1.5028222,Man arrested after allegedly looking into windows in Wilmot neighbourhood,00:00:00,00:06:45,405.0
43,2020-07-18,2020-07-14 00:00:00,langleyadvancetimes,https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/,LANGLEY’S GREEN THUMB: Tiny hybrids can add stunning colour to the garden – Langley Advance Times,00:00:00,00:09:53,593.0
44,2020-07-18,2020-07-15 00:00:00,torontosun,https://torontosun.com/life/relationships/ask-amy-girlfriend-wants-to-swing-alone,ASK AMY: Girlfriend wants to swing – alone,00:00:00,00:01:00,60.0
45,2020-07-18,2020-07-14 00:00:00,theprogress,https://www.theprogress.com/news/popkum-fire-chief-urges-caution-after-saturday-rescue-from-bridal-veil-falls/,Popkum fire chief urges caution after Saturday rescue from Bridal Veil Falls – Chilliwack Progress,00:00:00,00:10:22,622.0
46,2020-07-18,2020-07-17 00:00:00,torontosun,https://torontosun.com/sports/basketball/nba/toronto-raptors/raptors-dress-up-orlando-digs-with-memories-of-home,Raptors dress up Orlando digs with memories of home,00:00:00,00:07:31,451.0
47,2020-07-18,2020-07-16 00:00:00,torontosun,https://torontosun.com/life/relationships/ask-amy-inheritance-leads-to-a-dickens-of-a-problem,ASK AMY: Inheritance leads to a Dickens of a problem,00:00:00,00:02:30,150.0
